CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existenteQuantidade SUSQuantidade Não SUS por Município
Leitos complementares: UTI adulto II COVID-19, UTI pediátrica II COVID-19
Período:Jul/2020
"Município";"Quantidade_existente";"Quantidade_SUS";"Quantidade_Não_SUS"
"330170 Duque de Caxias";190;106;84
"330190 Itaboraí";43;13;30
"330210 Itaocara";7;7;-
"330220 Itaperuna";10;10;-
"330240 Macaé";30;-;30
"330250 Magé";15;15;-
"330270 Maricá";20;10;10
"330300 Miracema";6;6;-
"330330 Niterói";38;38;-
"330340 Nova Friburgo";20;10;10
"330350 Nova Iguaçu";20;20;-
"330370 Paraíba do Sul";8;-;8
"330390 Petrópolis";116;71;45
"330415 Quissamã";5;5;-
"330430 Rio Bonito";10;10;-
"330452 Rio das Ostras";8;-;8
"330455 Rio de Janeiro";968;241;727
"330490 São Gonçalo";177;16;161
"330500 São João da Barra";10;-;10
"330510 São João de Meriti";38;38;-
"330540 Sapucaia";10;-;10
"330550 Saquarema";6;6;-
"330580 Teresópolis";23;21;2
"330600 Três Rios";8;8;-
"330610 Valença";10;10;-
"330630 Volta Redonda";59;49;10
"350010 Adamantina";5;-;5
"350160 Americana";15;10;5
"350190 Amparo";14;-;14
"350210 Andradina";10;-;10
"350280 Araçatuba";26;-;26
"350320 Araraquara";23;10;13
"350330 Araras";11;-;11
"350380 Artur Nogueira";8;-;8
"350390 Arujá";10;10;-
"350400 Assis";16;-;16
"350450 Avaré";10;-;10
"350550 Barretos";54;52;2
"350570 Barueri";67;-;67
"350580 Bastos";5;-;5
"350590 Batatais";7;-;7
"350600 Bauru";9;9;-
"350635 Bertioga";10;10;-
"350650 Birigui";10;-;10
"350750 Botucatu";30;30;-
"350760 Bragança Paulista";20;20;-
"350850 Caçapava";5;-;5
"350900 Caieiras";5;-;5
"350950 Campinas";214;147;67
"351020 Capão Bonito";5;-;5
"351040 Capivari";10;-;10
"351050 Caraguatatuba";47;17;30
"351060 Carapicuíba";3;-;3
"351110 Catanduva";36;20;16
